question,answer,rewritten_query,gen_enhanced_k5_persona_mpnet,ctx_count_used,contexts
What did James Monroe make in 1817?,two long tours,What did James Monroe make in 1817?,acquisition of Florida,5,"{'passage': 'James Monroe (April 28, 1758 â\x80\x93 July 4, 1831) was the fifth President of the United States (1817-1825). His administration was marked by the acquisition of Florida (1819); the Missouri Compromise (1820), in which Missouri was declared a slave state; and the profession of the Monroe Doctrine (1823), declaring U.S. opposition to European interference in the Americas.', 'id': 2506}
---
{'passage': ""Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia in 1811, but he resigned a few months into the term. He then served as Secretary of State from 1811 to 1814.  When he was appointed to Secretary of War in 1814, he stayed on as the Secretary of State ad interim.  At the war's end in 1815, he was again commissioned as the permanent Secretary of State, and left his position as Secretary of War.  Thus from October 1, 1814 to February 28, 1815, Monroe effectively held the two cabinet posts.  Monroe stayed on as Secretary of State until the end of the James Madison Presidency, and the following day Monroe began his term as the new President of the United States."", 'id': 2512}
---
{'passage': ""Monroe had racked up many debts during his years of public life. As a result, he was forced to sell off his Highland Plantation (now called Ash Lawn-Highland; it is owned by his alma mater, the College of William and Mary, which has opened it to the public). Throughout his life, he was not financially solvent, and his wife's poor health made matters worse.  For these reasons, he and his wife lived in Oak Hill until Elizabeth's death on September 23, 1830."", 'id': 2521}
---
{'passage': ""After his term in the Senate, Monroe was appointed Minister to France from 1794 to 1796. His appointment there was made difficult as he had strong sympathies for the French Revolution, but dutifully maintained President Washington's strict policy of neutrality between Britiain and France."", 'id': 2509}
---
{'passage': 'Under the first Jefferson administration, Monroe was dispatched to France to assist Robert R. Livingston negotiate the Louisiana Purchase. Monroe was then appointed Minister to the Court of St. James (Britain) from 1803 to 1807. In 1806 he negotiated a treaty with Britain to replace the Jay Treaty of 1794, but Jefferson rejected it as unsatisfactory, as the treaty contained no ban on the British practice of impressment of American sailors. As a result, the two nations moved closer toward the War of 1812.', 'id': 2511}"
Are Gray Wolves native to North America?,Yes,Are Gray Wolves native to North America?,No known dog breed is indigenous to America.,5,"{'passage': 'Current theories propose that the gray wolf first evolved in Eurasia during the early Pleistocene. The rate of changes observed in DNA sequence date the South-East Asiatic lineage to about 800,000 years, as opposed to the American and European lineages which stretch back only 150,000.    The gray wolf then migrated into North America from the Old World, probably via the Bering land bridge (that once joined Alaska and Siberia), around 400,000 years ago.  The gray wolf then coexisted with the Dire Wolf (Canis dirus), a Canid species that was larger and heavier than the gray wolf and appeared in South America over 700,000 years ago and whose origin is still speculated. The Dire Wolf ranged from southern Canada to South America until about 8,000 years ago when climate changes are thought to have caused it to become extinct. After that the gray wolf is thought to have become the prime canine predator in North America.', 'id': 1096}
---
{'passage': 'Traditionally humans held a distasteful view of wolves, a creature they feared. It was also often accentuated in European folklore beginning in the Christian era. Settlers brought this view with them as they settled North America. The gray wolf, once found in every ecosystem across the Northern Hemisphere, was one of the first species to be culled by settlers. As technology made the killing of wolves and predators easier, humans began to overhunt wolves and cause their numbers to dwindle significantly.', 'id': 1108}
---
{'passage': 'Though once abundant over much of North America and Eurasia, the gray wolf inhabits a very small portion of its former range because of widespread destruction of its habitat; in some regions it is endangered or threatened. Considered as a whole, however, the gray wolf is regarded as of least concern for extinction according to the International Union for the Conservation of Nature and Natural Resources. Wolves are still hunted in many areas for sport or as perceived threats to livestock. Kazakhstan is currently thought to have the largest wolf population of any nation; it has as many as 90,000, versus some 60,000 for Canada.', 'id': 1022}
---
{'passage': 'North American domestic dogs are believed to have originated from Old World wolves. No known dog breed is indigenous to America. The first people to colonize North America 12,000 to 14,000 years ago brought their dogs with them from Asia, and apparently did not separately domesticate the wolves they found in the New World.', 'id': 1100}
---
{'passage': ""The gray wolf is a member of the genus Canis, which comprises between 7 and 10 species. It is one of six species termed 'wolf', the others being the Red Wolf (Canis rufus), the Indian Wolf (Canis indica), the Himalayan wolf (Canis himalayaensis), the Eastern Canadian Wolf (Canis lycaon) and the Ethiopian Wolf (Canis simensis)."", 'id': 1093}"
Is English the official language?,yes,Is English the official language?,Canada's two official languages are English and French.,5,"{'passage': ""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories."", 'id': 2358}
---
{'passage': 'The national language of Singapore is Malay for historical reasons, and it is used in the national anthem, ""Majulah Singapura"". The official languages are English, Mandarin, Malay and Tamil. English has been promoted as the country\'s language of administration since independence. The English used is primarily based on British English, with some American English influences.  The use of English became widespread in Singapore after it was implemented as a first language medium in the education system, and English is the most common language in Singaporean literature.  Public signs and official publications are in English, although there are translated versions in other official languages. However, the majority of the population speak a localised hybrid form of English known as Singlish (""Singapore English""), which has many creole-like characteristics, incorporating vocabulary and grammar from Standard English, various Chinese dialects, Malay and Indian languages. The government has consistently tried to discourage the use of Singlish in its ""Speak Good English"" campaigns.', 'id': 2773}
---
{'passage': 'English and French are the mother tongues of 59.7% and 23.2% of the population respectively,    and the languages most spoken at home by 68.3% and 22.3% of the population respectively.    98.5% of Canadians speak English or French (English only: 67.5%, French only: 13.3%, both: 17.7%).    English and French Official Language Communities, defined by First Official Language Spoken, constitute 73.0% and 23.6% of the population.', 'id': 2359}
---
{'passage': 'Singapore has a high literacy rate   . English is the first language learned by half the children by the time they reach preschool age and is the primary medium of instruction in primary school; however mother tongues are taught in the respective languages. English is the language of instruction for mathematics and the natural sciences. Special Assistance Plan schools may teach in another language to encourage more vibrant use of mother tongues.  Some schools also integrate language subjects with mathematics and the sciences, using both English and a second language.', 'id': 2765}
---
{'passage': ""The official language of Romania is Romanian, an Eastern Romance language related to Italian, French, Spanish, Portuguese and Catalan. Romanian is spoken as a first language by 91% of the population, with Hungarian and Romani being the most important minority languages, spoken by 6.7% and 1.1% of the population, respectively.  Until the 1990s, there was also a substantial number of German-speaking Transylvanian Saxons, even though many have since emigrated to Germany, leaving only 45,000 native German speakers in Romania. In localities where a given ethnic minority makes up more than 20% of the population, that minority's language can be used in the public administration and justice system, while native-language education and signage is also provided. English and French are the main foreign languages taught in schools. English is spoken by 5 million Romanians, French is spoken by 4-5 million, and German, Italian and Spanish are each spoken by 1-2 million people.   Outsourcing IT Ã®n RomÃ¢nia, Owners Association of the Software and Service Industry, retrieved November 13 2005  Historically, French was the predominant foreign language spoken in Romania, even though English has since superseded it. Consequently, Romanian English-speakers tend to be younger than Romanian French-speakers. Romania is, however, a full member of La Francophonie, and hosted the Francophonie Summit in 2006.   Chronology of the International Organization La Francophonie  German has been taught predominantly in Transylvania, due to traditions tracing back to the Austro-Hungarian rule in this province."", 'id': 3104}"
How long is the elephant's gestation period?,22 months,How long is the elephant's gestation period?,22 months,5,"{'passage': ""Elephants are mammals, and the largest land animals alive today.    The elephant's gestation period is 22 months, the longest of any land animal. At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).  An elephant may live as long as 70 years, sometimes longer. The largest elephant ever recorded was shot in Angola in 1956. This male weighed about 12,000 kg (26,400 lb),    with a shoulder height of 4.2 m (13.8 ft), a metre (3 ft 4 in) taller than the average male African elephant.    The smallest elephants, about the size of a calf or a large pig, were a prehistoric species that lived on the island of Crete during the Pleistocene epoch. Bate, D.M.A. 1907. On Elephant Remains from Crete, with Description of Elephas creticus sp.n. Proc. zool. Soc. London: 238-250."", 'id': 1177}
---
{'passage': 'After a twenty-two-month pregnancy, the mother will give birth to a calf that will weigh about 113 kg (250 lb) and stand over 76 cm (2.5 ft) tall. Elephants have a very long childhood. They are born with fewer survival instincts than many other animals. Instead, they must rely on their elders to teach them the things they need to know. Today, however, the pressures humans have put on the wild elephant populations, from poaching to habitat destruction, mean that the elderly often die at a younger age, leaving fewer teachers for the young.', 'id': 1257}
---
{'passage': 'Females (cows) reach sexual maturity at around 9â\x80\x9312 years of age and become pregnant for the first time, on average, around age 13. They can reproduce until ages 55â\x80\x9360. Females give birth at intervals of about 5 years. Their gestation (pregnancy) period lasts about 22 months (630â\x80\x93660 days), the longest gestation period of any mammal, after which typically one calf is born. Twins are rare. Labour ranges in length from 5 minutes to 60 hours. The average length of labour is 11 hours. At birth, calves weigh around 90â\x80\x93115 kg (200â\x80\x93250 lb), and they gain 1 kg (2â\x80\x932.5 lb) a day. In the wild, the mother is accompanied by other adult females (aunts), who protect the young, and baby elephants are raised and nurtured by the whole family group, practically from the moment of birth.', 'id': 1251}
---
{'passage': ""Elephant social life revolves around breeding and raising of the calves. A female will usually be ready to breed around the age of thirteen, at which time she will seek out the most attractive male to mate with.  Females are generally attracted to bigger, stronger, and, most importantly, older males. Such a reproductive strategy tends to increase their offspring's chances of survival."", 'id': 1256}
---
{'passage': ""Unlike most mammals, female elephants have a single pair of mammary glands located just behind the front legs. When born, a calf is about 90 centimeters (3 feet) high, just tall enough to reach its mother's nipples. A calf suckles with its mouth, not its trunk, which has no muscle tone. To clear the way to its mouth so it can suckle, the calf will flop its trunk onto its forehead. A newborn calf suckles for only a few minutes at a time but many times per day, consuming up to 11 litres (3 U.S. gallons) of milk in a single day. A calf may nurse for up to 2 years or more. Complete weaning depends on the disposition of the mother, the amount of available milk, and the arrival of another calf."", 'id': 1254}"
Are diving ducks heavier tha dabbling ducks?,Yes,Are diving ducks heavier than dabbling ducks?,"To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.",5,"{'passage': 'Diving ducks and sea ducks forage deep underwater. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.', 'id': 3168}
---
{'passage': 'Dabbling ducks feed on the surface of water or on land, or as deep as they can reach by up-ending without completely submerging.', 'id': 3169}
---
{'passage': 'Adult ducks are fast fliers, but may be caught on the water by large aquatic predators. This can occasionally include fish such as the muskie in North America or the pike in Europe. In flight, ducks are safe from all but a few predators such as humans and the Peregrine Falcon, which regularly uses its speed and strength to catch ducks.', 'id': 3176}
---
{'passage': 'Most ducks have a wide flat beak adapted for dredging. They exploit a variety of food sources such as grasses, aquatic plants, fish, insects, small amphibians  Photo of a duck eating a frog , worms, and small molluscs.', 'id': 3164}
---
{'passage': 'Ducks are sometimes confused with several types of unrelated water birds with similar forms, such as loons or divers, grebes, gallinules, and coots.', 'id': 3165}"
Oxygen is what?,One kind of gas obtained via a tracheal system.,What is oxygen?,tracheal system,5,"{'passage': 'Oxygen is obtained via a tracheal system. Air enters a series of tubes along the body through openings called spiracles, and is then taken into increasingly finer fibres. Pumping movements of the body force the air through the system.', 'id': 2391}
---
{'passage': '# An apparatus for producing manifestations of energy in free air instead of in a high vacuum as in the past. This, according to Tesla in 1934, was accomplished.', 'id': 1452}
---
{'passage': ""Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory."", 'id': 749}
---
{'passage': ""Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number."", 'id': 725}
---
{'passage': 'Avogadro developed this hypothesis after Joseph Louis Gay-Lussac had published in 1808 his law on volumes (and combining gases). The greatest difficulty Avogadro had to resolve was the huge confusion at that time regarding atoms and molecules   one of the most important contributions of Avogadro\'s work was clearly distinguishing one from the other, admitting that simple particles too could be composed of molecules, and that these are composed of atoms. For instance, John Dalton did not consider this possibility. Avogadro did not actually use the word ""atom"" as the words ""atom"" and ""molecule"" were used almost without difference. He considered that there were three kinds of ""molecules,"" including an ""elementary molecule"" (our ""atom""). Also, a keener attention was given to the definition of mass, as distinguished from weight.', 'id': 741}"
Where is Uruguay's oldest church?,"San Carlos, Maldonado.",Where is the oldest church in Uruguay?,"San Carlos, Maldonado",5,"{'passage': ""Uruguay's oldest church is in San Carlos, Maldonado."", 'id': 51}
---
{'passage': 'Although the majority of Uruguayans do not actively practice a religion, they are nominally church members in the Catholic, Protestant and Jewish communities. It is widely considered the most secular nation in Latin America.', 'id': 53}
---
{'passage': 'Church and state are officially separated since approximately 1916. Most Uruguayans adhere to the Roman Catholic faith (62%), with smaller Protestant (4%) and Jewish (3%), as well as a large nonprofessing group (31%).', 'id': 52}
---
{'passage': 'Uruguay (official full name in  ; pron.  , Eastern Republic of  Uruguay) is a country located in the southeastern part of South America.  It is home to 3.3 million people, of which 1.7 million live in the capital Montevideo and its metropolitan area.', 'id': 0}
---
{'passage': 'The Plaza Independencia (""Independence Square""), in Montevideo, hosts the tomb of JosÃ© Artigas, late leader of the Provincia Oriental and the Liga Federal. In front of the square, the Palacio Salvo can be seen.', 'id': 11}"
When was the first factory opened?,1836,When was the first factory opened?,1836,5,"{'passage': 'Liechtenstein also had many advances in the nineteenth century, as in 1836, the first factory was opened, making ceramics. In 1861, the Savings and Loans Bank was founded, as was the first cotton-weaving mill. Two bridges over the Rhine were built in 1868, and in 1872 a railway line across Liechtenstein was constructed.', 'id': 2826}
---
{'passage': 'Watt finally had access to some of the best iron workers in the world. The difficulty of the manufacture of a large cylinder with a tightly fitting piston was solved by John Wilkinson who had developed precision boring techniques for cannon making at Bersham, near Wrexham, North Wales. Finally, in 1776, the first engines were installed and working in commercial enterprises. These first engines were used for pumps and produced only reciprocating motion.  Orders began to pour in and for the next five years Watt was very busy installing more engines, mostly in Cornwall for pumping water out of mines.', 'id': 1956}
---
{'passage': ""In 1886, Tesla formed his own company, Tesla Electric Light & Manufacturing. The initial financial investors disagreed with Tesla on his plan for an alternating current motor and eventually relieved him of his duties at the company. Tesla worked in New York as a common laborer from 1886 to 1887 to feed himself and raise capital for his next project. In 1887, he constructed the initial brushless alternating current induction motor, which he demonstrated to the American Institute of Electrical Engineers (now IEEE) in 1888. In the same year, he developed the principles of his Tesla coil and began working with George Westinghouse at Westinghouse Electric & Manufacturing Company's Pittsburgh labs. Westinghouse listened to his ideas for polyphase systems which would allow transmission of alternating current electricity over large distances."", 'id': 1403}
---
{'passage': 'In 1794 the partners established Boulton and Watt to exclusively manufacture steam engines, and this became a large enterprise.  By 1824 it had produced 1164 steam engines having a total nominal horsepower of about 26,000. Carnegie, p 195    Boulton proved to be an excellent businessman, and both men eventually made fortunes.', 'id': 1960}
---
{'passage': 'The highlight of these efforts was the construction of Esplanade, a centre for performing arts that opened on October 12, 2002.', 'id': 2778}"
Did Roosevelt receive a Medal of Honor?,yes,Did Roosevelt receive a Medal of Honor?,Yes.,5,"{'passage': ""For his gallantry at San Juan Hill, Roosevelt's commanders recommended him for the Medal of Honor, but his subsequent telegrams to the War Department complaining about the delays in returning American troops from Cuba doomed his chances. In the late 1990s, Roosevelt's supporters again took up the flag on his behalf and overcame opposition from elements within the U.S. Army and the National Archives. On January 16, 2001, President Bill Clinton awarded Theodore Roosevelt the Medal of Honor posthumously for his charge up San Juan Hill, Cuba, during the Spanish-American War. Roosevelt's eldest son, Brigadier General Theodore Roosevelt, Jr., received the Medal of Honor for heroism at the Battle of Normandy in 1944. The Roosevelts thus became one of only two father-son pairs to receive this honor."", 'id': 3012}
---
{'passage': ""Under his leadership, the Rough Riders became famous for dual charges up Kettle Hill and San Juan Hill in July 1898 (the battle was named after the latter hill).  Out of all the Rough Riders, Roosevelt was the only one who had a horse, and was forced to walk up Kettle Hill on foot after his horse, Little Texas, became tired. For his actions, Roosevelt was nominated for the Medal of Honor which was subsequently disapproved.  It has been widely speculated this disapproval was because of Roosevelt's outspoken comments of the handling of the War. In September 1997, Congressman Rick Lazio representing the 2nd District of New York sent two award recommendations to the U.S. Army Military Awards Branch. These recommendations addressed to Brigadier General Earl Simms, the Army's Adjutant General and one to Master Sergeant Gary Soots, Chief of Authorizations, would prove successful in garnering the much sought after award. Soots Letter  Roosevelt was posthumously awarded the Medal of Honor in 2001 for his actions. Brands ch 13  He was the first and, as of 2007, the only President of the United States to be awarded with America's highest military honor, and the only person in history to receive both his nation's highest honor for military valor and the world's foremost prize for peace.    Chicago newspaper sees cowboy-TR campaigning for governor"", 'id': 2922}
---
{'passage': ""#In 2001, he became the first and only President up to date to receive a Medal of Honor, making him the only person to date to win the world's highest peace honor, as well as his nation's top military honor. "", 'id': 2967}
---
{'passage': ""Roosevelt's legacy includes several other important commemorations.  Roosevelt was included with George Washington, Thomas Jefferson and Abraham Lincoln at the Mount Rushmore Memorial, designed in 1927.  The United States Navy named two ships for Roosevelt: the USS Theodore Roosevelt (SSBN-600), a submarine was in commission from 1961 to 1982; and the USS Theodore Roosevelt (CVN-71), an aircraft carrier that has been on active duty in the Atlantic Fleet since 1986."", 'id': 3013}
---
{'passage': 'Roosevelt gained international praise for helping negotiate the end of the Russo-Japanese War, for which he was awarded the Nobel Peace Prize. Roosevelt later arbitrated a dispute between France and Germany over the division of Morocco. Some historians have argued these latter two actions helped in a small way to avert a world war. The Rector and Visitors of the University of Virginia (2005).  ""Theodore Roosevelt (1901â\x80\x931909)"". Retrieved March 6 2006.', 'id': 2941}"
What percentage of Liechtenstein's population is foreign-born?,two-thirds,What percentage of Liechtenstein's population is foreign-born?,one third,5,"{'passage': ""Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners."", 'id': 2856}
---
{'passage': ""Liechtensteiners have an average life expectancy at birth of 79.68 years (76.1 years for males; 83.28 years for females). The infant mortality rate is 4.64 deaths per 1,000 live births, according to recent estimates. An estimated 100 percent of the population, age 10 and older, can read and write.  The Programme for International Student Assessment, coordinated by the OECD, currently ranks Liechtenstein's education as the 10th best in the world, being significantly higher than the OECD average."", 'id': 2854}
---
{'passage': ""Liechtenstein participates in a customs union with Switzerland and employs the Swiss franc as national currency. The country imports more than 90% of its energy requirements. Liechtenstein has been a member of the European Economic Area (an organization serving as a bridge between the European Free Trade Association (EFTA) and the European Union) since May 1995 . The government is working to harmonize its economic policies with those of an integrated Europe. Since 2002, Liechtenstein's rate of unemployment has doubled, although it stood at only 2.2% in the third quarter of 2004. Currently, there is only one hospital in Liechtenstein, the Liechtensteinisches Landesspital in Vaduz. The GDP (PPP) is $1.786 billion CIA World Factbook ( link)  and $25,000 per person."", 'id': 2852}
---
{'passage': 'As a result of its small size Liechtenstein has been strongly affected by external cultural influences, most notably those originating in the southern German-speaking areas of Europe, including Austria, Bavaria, Switzerland, and Tyrol. The Historical Society of the Principality of Liechtenstein plays a role in preserving the culture and history of the country.', 'id': 2864}
---
{'passage': 'The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.', 'id': 2817}"
