Retrieval_K,Prompt_Strategy,Embedding_Dim,Avg_F1,Avg_EM
1,naive,all-MiniLM-L6-v2,29.73228391978392,22.5
1,cot,all-MiniLM-L6-v2,36.804555042219,25.833333333333332
1,persona,all-MiniLM-L6-v2,38.20859879265052,30.833333333333332
3,naive,all-MiniLM-L6-v2,35.7955956080956,26.666666666666668
3,cot,all-MiniLM-L6-v2,37.21511087280764,25.833333333333332
3,persona,all-MiniLM-L6-v2,46.5552736694978,37.5
5,naive,all-MiniLM-L6-v2,40.44206025456025,30.833333333333332
5,cot,all-MiniLM-L6-v2,38.77122304494296,25.0
5,persona,all-MiniLM-L6-v2,49.002726635818696,39.166666666666664
1,naive,all-mpnet-base-v2,27.707482332482332,22.5
1,cot,all-mpnet-base-v2,32.63615199347913,23.333333333333332
1,persona,all-mpnet-base-v2,34.531019427571145,29.166666666666668
3,naive,all-mpnet-base-v2,36.733993562797906,28.333333333333332
3,cot,all-mpnet-base-v2,37.02902275519393,25.833333333333332
3,persona,all-mpnet-base-v2,44.6912827753345,35.833333333333336
5,naive,all-mpnet-base-v2,41.77241739741739,32.5
5,cot,all-mpnet-base-v2,38.41220270957917,26.666666666666668
5,persona,all-mpnet-base-v2,49.85794322216736,40.0
5,enhanced-persona+qr+rerank,all-mpnet-base-v2,48.315471087022814,38.333333333333336
